ip,country,port,org,isp,hostnames,timestamp,product,version,vulns
178.93.30.54,Ukraine,60000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:03:41.083468,,,
178.94.210.208,Ukraine,6000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:03:37.152164,,,
185.86.77.163,Ukraine,465,GMHOST datacenter,Mulgin Alexander Sergeevich,['proxyuser.gmhost.shared'],2026-03-31 18:03:34.259768,Exim smtpd,4.97.1,"CVE-2024-39929, CVE-2025-30232, CVE-2025-67896"
195.110.57.14,Ukraine,161,Ukrainian State Air Traffic Service Enterprise,Ukrainian State Air Traffic Service Enterprise,[],2026-03-31 18:03:33.601239,,,
46.201.5.177,Ukraine,8008,JSC Ukrtelecom,"JSC ""Ukrtelecom""",['177-5-201-46.pool.ukrtel.net'],2026-03-31 18:03:28.982218,Chromecast,,
152.53.40.137,Ukraine,2259,ANX Holding GmbH,ANEXIA Internetdienstleistungs GmbH,[],2026-03-31 18:03:27.868106,,,
95.67.113.226,Ukraine,465,Cosmonova LLC,Cosmonova LLC,['soluhns.cosmonova.net.ua'],2026-03-31 18:03:27.190526,Kerio Connect smtpd,8.3.1,
91.236.226.157,Ukraine,8855,Gigacloud LLC,Gigacloud LLC,['91.236.226.157.gigacloud.ua'],2026-03-31 18:03:21.690402,,,
176.103.22.69,Ukraine,443,,CHP Zarko Alexandr Ivanovich,[],2026-03-31 18:03:19.543260,Ubiquiti AirRouter,,"CVE-2018-19052, CVE-2019-11072"
195.49.148.177,Ukraine,53,FAUST ISP LTD.,FAUST ISP LTD.,[],2026-03-31 18:03:16.170590,,,
213.160.144.157,Ukraine,8155,CYBERARENA TV LLC,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",[],2026-03-31 18:06:28.868730,,,
178.95.127.58,Ukraine,80,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:03:13.474682,Apache httpd,2.4.65,"CVE-2025-55753, CVE-2013-0942, CVE-2012-4001, CVE-2025-65082, CVE-2013-0941, CVE-2009-2299, CVE-2025-66200, CVE-2011-1176, CVE-2011-2688, CVE-2025-59775, CVE-2025-58098, CVE-2007-4723, CVE-2013-2765, CVE-2013-4365, CVE-2009-0796, CVE-2012-3526, CVE-2012-4360"
178.93.187.158,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:03:12.709499,,,
45.94.158.164,Ukraine,19071,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:03:11.428563,,,
46.164.129.52,Ukraine,443,PRIVATE JOINT STOCK COMPANY DATAGROUP,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",['46.164.129.52.ipv4.datagroup.ua'],2026-03-31 18:03:10.205152,,,
95.67.58.90,Ukraine,80,Cosmonova LLC,Cosmonova LLC,['romanuk-14.cosmonova.net.ua'],2026-03-31 18:03:09.975855,nginx,,
194.61.52.163,Ukraine,53,NETH LLC,NETH LLC,[],2026-03-31 18:03:08.484336,,,
185.46.149.172,Ukraine,8155,"GIGATRANS UKRAINE, LLC","""GIGATRANS UKRAINE"", LLC",['185-46-149-172.net.gigatrans.ua'],2026-03-31 18:03:08.094167,,,
178.92.80.171,Ukraine,3389,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:03:07.139248,,,
91.196.54.41,Ukraine,8443,PP KOM i TEX,PP KOM i TEX,"['exchange.stingray.ua', 'dynamic.komitex.net', 'www.exchange.stingray.ua']",2026-03-31 18:03:04.665272,Apache httpd,2.4.34,"CVE-2019-0196, CVE-2025-58098, CVE-2013-4365, CVE-2018-5407, CVE-2022-28330, CVE-2021-32791, CVE-2021-32792, CVE-2023-31122, CVE-2024-38476, CVE-2024-27316, CVE-2024-38474, CVE-2024-38475, CVE-2024-38472, CVE-2024-38473, CVE-2009-0796, CVE-2021-36160, CVE-2020-1927, CVE-2018-17189, CVE-2021-32786, CVE-2021-32785, CVE-2020-9490, CVE-2007-4723, CVE-2021-44790, CVE-2020-13938, CVE-2019-9517, CVE-2020-35452, CVE-2022-22719, CVE-2024-47252, CVE-2020-1934, CVE-2021-34798, CVE-2025-55753, CVE-2018-11763, CVE-2019-1563, CVE-2019-0197, CVE-2024-24795, CVE-2021-33193, CVE-2019-0211, CVE-2019-17567, CVE-2022-31813, CVE-2024-42516, CVE-2012-4360, CVE-2025-59775, CVE-2025-65082, CVE-2024-39573, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2021-44224, CVE-2022-30556, CVE-2021-39275, CVE-2025-49630, CVE-2023-38709, CVE-2022-29404, CVE-2006-20001, CVE-2020-11993, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-22720, CVE-2019-10092, CVE-2019-10097, CVE-2019-10098, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2018-17199, CVE-2022-36760, CVE-2023-25690, CVE-2020-11984, CVE-2024-38477, CVE-2022-26377, CVE-2019-10081, CVE-2019-10082, CVE-2024-40898, CVE-2024-43204, CVE-2022-0778, CVE-2023-27522, CVE-2009-1390, CVE-2012-3526, CVE-2019-1543, CVE-2019-1547, CVE-2009-2299, CVE-2025-66200, CVE-2012-4001, CVE-2022-37436, CVE-2018-0737, CVE-2018-0734, CVE-2018-0735, CVE-2018-0732, CVE-2025-49812, CVE-2025-53020, CVE-2013-2765, CVE-2024-43394, CVE-2011-2688, CVE-2019-1552, CVE-2013-0941, CVE-2013-0942, CVE-2023-45802, CVE-2019-0217, CVE-2022-28615, CVE-2022-28614"
178.92.176.157,Ukraine,2332,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:59.210075,,,
176.101.195.67,Ukraine,7547,SDS-Vostok Ltd.,SDS-Vostok Ltd.,['195-67.customer.slav.net.ua'],2026-03-31 18:02:56.715080,,,
195.138.92.65,Ukraine,8443,TeNeT Networking Centre,TENET Scientific Production Enterprise LLC,[],2026-03-31 18:02:56.197459,ASUS Wireless Router RT-AC51U,,
77.222.155.64,Ukraine,1723,PRIVATE JOINT STOCK COMPANY DATAGROUP,Datagroup Retail,['77-222-155-64-static.retail.datagroup.ua'],2026-03-31 18:02:55.783941,PPTP,,
178.94.171.214,Ukraine,9527,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:54.723143,,,
178.93.53.49,Ukraine,2332,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:54.642545,,,
178.93.187.104,Ukraine,8086,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:51.177533,InfluxDB,1.6.4,
178.92.151.87,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:50.683472,,,
91.197.70.91,Ukraine,9999,DEMENIN B.V.,Roman Sartov,['ip-91.jackmx.net.ua'],2026-03-31 18:02:42.924851,,,
188.190.39.181,Ukraine,7547,Lanet Network Ltd,Lanet Network Ltd,['host-188-190-39-181.la.net.ua'],2026-03-31 18:02:41.704712,,,
193.169.241.210,Ukraine,22,"Network in Kyiv, Ukraine",SERVER.UA LLC,[],2026-03-31 18:02:41.655845,OpenSSH,9.2p1 Debian 2+deb12u3,
178.92.36.96,Ukraine,10050,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:39.660629,,,
